"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"il","richland","democrat",2202,29.6,100,17159
"il","richland","other",351,4.7,200,34318
"il","richland","republican",4897,65.7,100,17159
"il","rock island","democrat",32912,52.4,100,17161
"il","rock island","other",3178,5,200,34322
"il","rock island","republican",26741,42.6,100,17161
"il","saline","democrat",4768,44.1,100,17165
"il","saline","other",438,4.1,200,34330
"il","saline","republican",5595,51.8,100,17165
"il","sangamon","democrat",39760,41.1,100,17167
"il","sangamon","other",5378,5.5,200,34334
"il","sangamon","republican",51698,53.4,100,17167
"il","schuyler","democrat",1611,43,100,17169
"il","schuyler","other",192,5.1,200,34338
"il","schuyler","republican",1942,51.9,100,17169
"il","scott","democrat",841,32.9,100,17171
"il","scott","other",107,4.1,200,34342
"il","scott","republican",1605,62.9,100,17171
"il","shelby","democrat",2716,25.1,100,17173
"il","shelby","other",699,6.5,200,34346
"il","shelby","republican",7408,68.4,100,17173
"il","st clair","democrat",68114,57.3,100,17163
"il","st clair","other",5235,4.4,200,34326
"il","st clair","republican",45589,38.3,100,17163
"il","stark","democrat",779,28.9,100,17175
"il","stark","other",159,5.9,200,34350
"il","stark","republican",1759,65.2,100,17175
"il","stephenson","democrat",7189,36.6,100,17177
"il","stephenson","other",1195,6.1,200,34354
"il","stephenson","republican",11250,57.3,100,17177
"il","tazewell","democrat",21114,33.1,100,17179
"il","tazewell","other",4449,7,200,34358
"il","tazewell","republican",38268,60,100,17179
"il","union","democrat",3828,45.5,100,17181
"il","union","other",360,4.3,200,34362
"il","union","republican",4222,50.2,100,17181
"il","vermilion","democrat",10327,34.8,100,17183
"il","vermilion","other",1772,6,200,34366
"il","vermilion","republican",17586,59.2,100,17183
"il","wabash","democrat",1534,29.2,100,17185
"il","wabash","other",227,4.3,200,34370
"il","wabash","republican",3494,66.5,100,17185
"il","warren","democrat",3019,39.2,100,17187
"il","warren","other",503,6.5,200,34374
"il","warren","republican",4179,54.3,100,17187
"il","washington","democrat",2551,35.2,100,17189
"il","washington","other",290,4,200,34378
"il","washington","republican",4412,60.8,100,17189
"il","wayne","democrat",1924,24.2,100,17191
"il","wayne","other",402,5.1,200,34382
"il","wayne","republican",5612,70.7,100,17191
"il","white","democrat",2407,34,100,17193
"il","white","other",322,4.5,200,34386
"il","white","republican",4355,61.5,100,17193
"il","whiteside","democrat",11648,46.3,100,17195
"il","whiteside","other",1368,5.5,200,34390
"il","whiteside","republican",12125,48.2,100,17195
"il","will","democrat",147451,50.9,100,17197
"il","will","other",18215,6.3,200,34394
"il","will","republican",124101,42.8,100,17197
"il","williamson","democrat",13460,43.4,100,17199
"il","williamson","other",1529,5,200,34398
"il","williamson","republican",16021,51.7,100,17199
"il","winnebago","democrat",49852,44.1,100,17201
"il","winnebago","other",7494,6.6,200,34402
"il","winnebago","republican",55733,49.3,100,17201
"il","woodford","democrat",5059,25.9,100,17203
"il","woodford","other",1196,6.1,200,34406
"il","woodford","republican",13250,67.9,100,17203
"in","adams","democrat",3839,29.2,100,18001
"in","adams","other",865,6.6,100,18001
"in","adams","republican",8425,64.2,100,18001
"in","allen","democrat",59700,40.5,100,18003
"in","allen","other",8482,5.8,100,18003
"in","allen","republican",79230,53.7,100,18003
"in","bartholomew","democrat",11354,35.2,100,18005
"in","bartholomew","other",1839,5.7,100,18005
"in","bartholomew","republican",19048,59.1,100,18005
"in","benton","democrat",1132,30.6,100,18007
"in","benton","other",246,6.7,100,18007
"in","benton","republican",2316,62.7,100,18007
"in","blackford","democrat",1707,35.4,100,18009
"in","blackford","other",364,7.6,100,18009
"in","blackford","republican",2748,57,100,18009
"in","boone","democrat",10583,32.8,100,18011
"in","boone","other",1715,5.3,100,18011
"in","boone","republican",19966,61.9,100,18011
"in","brown","democrat",2907,36.4,100,18013
"in","brown","other",462,5.8,100,18013
"in","brown","republican",4615,57.8,100,18013
"in","carroll","democrat",2521,29,100,18015
"in","carroll","other",648,7.5,100,18015
"in","carroll","republican",5512,63.5,100,18015
"in","cass","democrat",4926,34.6,100,18017
"in","cass","other",1012,7.1,100,18017
"in","cass","republican",8303,58.3,100,18017
"in","clark","democrat",21394,41.9,100,18019
"in","clark","other",1995,3.9,100,18019
"in","clark","republican",27664,54.2,100,18019
"in","clay","democrat",3979,35.8,100,18021
"in","clay","other",697,6.3,100,18021
"in","clay","republican",6439,57.9,100,18021
"in","clinton","democrat",3693,31.5,100,18023
"in","clinton","other",740,6.3,100,18023
"in","clinton","republican",7290,62.2,100,18023
"in","crawford","democrat",1890,41.5,100,18025
"in","crawford","other",169,3.7,100,18025
"in","crawford","republican",2498,54.8,100,18025
"in","daviess","democrat",3131,29.3,100,18027
"in","daviess","other",450,4.2,100,18027
"in","daviess","republican",7096,66.5,100,18027
"in","dearborn","democrat",5250,22.4,100,18029
"in","dearborn","other",953,4.1,100,18029
"in","dearborn","republican",17286,73.6,100,18029
"in","decatur","democrat",3022,27.7,100,18031
"in","decatur","other",602,5.5,100,18031
"in","decatur","republican",7300,66.8,100,18031
"in","dekalb","democrat",5028,30.2,100,18033
"in","dekalb","other",1413,8.5,100,18033
"in","dekalb","republican",10229,61.4,100,18033
"in","delaware","democrat",20515,45.8,100,18035
"in","delaware","other",2740,6.1,100,18035
"in","delaware","republican",21515,48.1,100,18035
"in","dubois","democrat",7692,39.1,100,18037
"in","dubois","other",962,4.9,100,18037
"in","dubois","republican",11029,56,100,18037
"in","elkhart","democrat",23348,35.4,100,18039
"in","elkhart","other",3387,5.1,100,18039
"in","elkhart","republican",39234,59.5,100,18039
"in","fayette","democrat",3170,33.8,100,18041
"in","fayette","other",609,6.5,100,18041
"in","fayette","republican",5602,59.7,100,18041
"in","floyd","democrat",15497,41.2,100,18043
"in","floyd","other",1348,3.6,100,18043
"in","floyd","republican",20730,55.2,100,18043
"in","fountain","democrat",2071,27.6,100,18045
"in","fountain","other",449,6,100,18045
"in","fountain","republican",4981,66.4,100,18045
"in","franklin","democrat",2623,24.1,100,18047
"in","franklin","other",359,3.3,100,18047
"in","franklin","republican",7922,72.7,100,18047
"in","fulton","democrat",2793,33.2,100,18049
"in","fulton","other",552,6.6,100,18049
"in","fulton","republican",5076,60.3,100,18049
"in","gibson","democrat",5518,35.6,100,18051
"in","gibson","other",776,5,100,18051
"in","gibson","republican",9218,59.4,100,18051
"in","grant","democrat",8365,33.1,100,18053
"in","grant","other",1643,6.5,100,18053
"in","grant","republican",15281,60.4,100,18053
